tg_id,id,ft_1,ft_2,ft_3 ,ft_4
88,88,63,59,56,67
108,108,#N/A,69,72,69
139,139,70,82,59,64
159,159,72,73,71,72
265,265,62,70,65,57
350,350,69,73,65,67
351,351,68,74,68,67
403,403,54,70,64,66
410,410,75,79,69,81
424,424,87,85,80,81
428,428,65,74,83,81
430,430,#N/A,89,94,94
630,630,69,77,86,62
763,763,68,67,64,64
765,765,49,57,57,64
766,766,60,62,61,71
768,768,81,85,69,71
770,770,81,73,71,76
772,772,66,72,69,63
801,801,103,91,93,92
870,870,74,71,71,74
915,915,62,69,66,58
932,932,83,80,78,71
991,991,109,111,109,113
992,992,111,121,118,114
997,997,94,99,108,104
1002,1002,99,96,110,106
1061,1061,90,99,99,103
1062,1062,92,91,88,105
1063,1063,#N/A,87,81,84
1066,1066,127,118,144,123
1074,1074,106,94,100,93
1137,1137,111,106,117,111
1158,1158,94,98,105,98
1254,1254,#N/A,90,93,93
1257,1257,#N/A,93,83,108
1317,1317,103,101,101,112
1318,1318,80,90,85,104
1363,1363,122,92,98,107
1367,1367,107,98,105,97
1435,1435,68,74,73,74
1552,1552,112,104,100,100
1585,1585,108,101,95,110
1829,1829,96,98,92,93
1853,1853,71,74,72,69
1872,1872,70,85,81,85
1890,1890,90,134,92,88
1925,1925,88,96,82,92
1954,1954,94,94,89,95
2016,2016,74,72,88,76
2171,2171,81,77,79,79
2202,2202,93,107,97,94
2276,2276,87,90,79,76
2278,2278,73,81,80,83
2317,2317,75,73,80,80
4779,4779,66,72,68,#N/A
4807,4807,71,87,78,83
4826,4826,59,59,60,62
4884,4884,72,78,62,69
4900,4900,68,73,68,75
4931,4931,64,60,64,63
4958,4958,85,93,96,91
5023,5023,59,61,63,61
5104,5104,61,56,63,60
5151,5151,94,78,78,77
5165,5165,79,97,80,90
5210,5210,#N/A,98,101,89
5236,5236,61,62,54,57
5253,5253,62,67,58,64
5276,5276,78,69,80,71
5349,5349,90,88,90,100
5353,5353,71,78,65,70
5470,5470,144,189,#N/A,131
5486,5486,59,59,59,65
5506,5506,126,123,138,113
5535,5535,87,74,85,80
5577,5577,64,71,65,67
5644,5644,65,54,65,59
5720,5720,94,98,83,93
5726,5726,76,77,70,73
5741,5741,95,102,99,93
5748,5748,59,58,62,64
5757,5757,89,88,89,85
5768,5768,91,99,93,102
5772,5772,64,65,69,69
5778,5778,62,72,61,70
5779,5779,96,86,92,88
5784,5784,110,96,100,101
5800,5800,57,62,67,61
5811,5811,63,78,71,76
5818,5818,69,66,66,62
5822,5822,120,115,103,113
5829,5829,59,73,55,80
5830,5830,100,96,97,98
5831,5831,109,96,96,97
5832,5832,82,91,89,92
5835,5835,70,81,73,68
5837,5837,68,75,89,90
5856,5856,#N/A,#N/A,106,132
5865,5865,103,103,114,119
5867,5867,130,130,130,132
5874,5874,72,81,76,83
5890,5890,81,84,77,71
